account,account_value,classification,classification_reasons,closed_count,closed_realized_sum,current_position_cost,current_position_count,current_position_value,data_source,dominant_fill_coin,dominant_fill_share,excluded,fee_bps_recent,fees_recent,fill_coin_count,fill_count_capped_at_2000,fill_count_recent,fill_dirs,fill_end,fill_notional_recent,fill_start,join_date,largest_win,largest_win_to_pnl,margin_used,market,name,negative_risk_count_sample,not_trade_recommended,pnl_all_time,pnl_month,pnl_per_volume,position_count,position_notional,position_upnl,rank,roi_all_time,roi_month,top_closed_outcome,top_closed_realized,top_closed_share_of_positive_closed,top_closed_title,top_position_coin,top_position_leverage,top_position_share,top_position_value,trade_count,unique_event_count_sample,volume_month
0x095fbca2e0eaf0c9841005135427e1e0117190b2,,A_pm_large_event_bet,low trade count or concentrated closed wins; high largestWin/PnL; high PnL/volume,6,3374529.655125,106374.4579,1,0.0,fresh_api:local_sample_detail,,,False,,,,,,,,,,2026-06-09T08:20:51.895000Z,2396970.380175,0.763109,,polymarket,muchobliged,0,True,,3141057.026554,0.43018607,,,,1,,,Over,2396970.380175,0.710312,England vs. DR Congo: O/U 2.5,,,,,7,6,7301624.277016
0x0346afae2603313d2bbee96b628536c8cbe352a5,,B_pm_hf_mm_arb,very high trade count; broad/current position footprint; low-to-moderate PnL/volume consistent with spread or microstructure edge; largest win still large; verify not a single-event artifact,30,8666454.129639,490969.896,100,491306.2577,fresh_api:local_sample_detail,,,False,,,,,,,,,,2026-04-21T03:32:56.075000Z,938349.898755,1.345879,,polymarket,GoalLineGhost,0,True,,697202.085472,0.07207645,,,,2,,,Yes,938349.898755,0.108274,Will United States win on 2026-06-12?,,,,,11319,100,9673091.133951
0x84cfffc3f16dcc353094de30d4a45226eccd2f63,,B_pm_hf_mm_arb,very high trade count; broad/current position footprint; low-to-moderate PnL/volume consistent with spread or microstructure edge; largest win still large; verify not a single-event artifact,30,9349861.493265,1256952.4578,100,1372225.4339,fresh_api:local_sample_detail,,,False,,,,,,,,,,2026-04-24T13:17:50.795000Z,880905.98618,1.350905,,polymarket,mooseborzoi,0,True,,652085.853679,0.0497436,,,,3,,,Spurs,880905.98618,0.094216,Spurs vs. Thunder,,,,,8672,100,13108939.437532
0x204f72f35326db932158cba6adff0b9a1da95e14,,B_pm_hf_mm_arb,very high trade count; broad/current position footprint; low-to-moderate PnL/volume consistent with spread or microstructure edge; largest win still large; verify not a single-event artifact,30,13623422.366107,1451727.3289,100,1453280.7774,fresh_api:local_sample_detail,,,False,,,,,,,,,,2025-07-29T10:46:06.105000Z,1171844.90857,1.900341,,polymarket,swisstony,0,True,,616649.954979,0.01823495,,,,4,,,No,1171844.90857,0.086017,Will Germany win on 2026-06-25?,,,,,132621,100,33816933.641712
0x709e8dcb133555794decc598e07f2c923b8366f5,,F_anomaly_or_unclear_excluded,does not cleanly meet A/B/C thresholds,30,7899706.656356,2551242.5817,21,1338133.0,fresh_api:local_sample_detail,,,True,,,,,,,,,,2026-04-02T19:48:36.025000Z,613282.059582,1.157863,,polymarket,0xd4aa6f8e91cfea29b66a48ebff52814,0,True,,529667.261448,0.16856324,,,,5,,,Yes,613282.059582,0.077634,Will France win on 2026-06-26?,,,,,252,30,3142246.633786
0x83720820a8aa6c3f20ad71850e7a1a17d16c5223,,F_anomaly_or_unclear_excluded,does not cleanly meet A/B/C thresholds,30,3121347.011033,2375819.7261,57,661853.7198,fresh_api:local_sample_detail,,,True,,,,,,,,,,2024-07-22T14:04:48.488000Z,474539.538006,0.911783,,polymarket,Jsram,0,True,,520452.48078,0.18009136,,,,6,,,Yes,474539.538006,0.15203,Belgium vs. Senegal: Both Teams to Score,,,,,145,57,2889935.901201
0x67542c3219b37fd1610aad290676ff91cdbfe3bc,,F_anomaly_or_unclear_excluded,does not cleanly meet A/B/C thresholds,30,6149630.425254,256956.0625,1,0.0,fresh_api:local_sample_detail,,,True,,,,,,,,,,2026-06-11T13:58:50.837000Z,1248667.296333,2.987254,,polymarket,maz26,0,True,,417998.353153,0.08086769,,,,7,,,Yes,1248667.296333,0.203048,Will Belgium vs. Senegal end in a draw?,,,,,126,30,5168916.511168
0x7c1ee865a785de4c00ee90ed86a38489fb8bbab3,,C_pm_midfreq_selective,mid-range trade count; multiple sampled markets; not entirely single-win dominated,30,3678894.890248,3934063.4088,74,17080.8346,fresh_api:local_sample_detail,,,False,,,,,,,,,,2026-06-09T16:59:25.907000Z,241000.12385,0.609555,,polymarket,CandleHammerDrums,0,True,,395370.664559,0.19072738,,,,8,,,No,241000.12385,0.065509,Will Belgium win on 2026-07-01?,,,,,146,74,2072962.298134
0x9ee8bbc36d378af72e5f6b8e2ea2eb67c05a89de,,A_pm_large_event_bet,low trade count or concentrated closed wins; high largestWin/PnL; high PnL/volume,19,3761559.129775,2363108.3088,20,12253.2698,fresh_api:local_sample_detail,,,False,,,,,,,,,,2026-06-20T14:10:14.767000Z,1131231.70905,2.942828,,polymarket,Qpkwks,0,True,,384402.966165,0.20253641,,,,9,,,No,1131231.70905,0.300735,Will England win on 2026-06-23?,,,,,36,20,1897945.02216
0xfea31bc088000ff909be1dfd8d0e3f2c7ef2d227,,B_pm_hf_mm_arb,very high trade count; broad/current position footprint; largest win still large; verify not a single-event artifact,30,7158187.177476,5116235.9781,97,4811030.747,fresh_api:local_sample_detail,,,False,,,,,,,,,,2026-03-25T22:51:51.852000Z,756956.454809,2.037042,,polymarket,ndb1,0,True,,371595.865135,0.20479493,,,,10,,,No,756956.454809,0.105747,Will Arsenal win the 2025–26 Champions League?,,,,,1689,97,1814477.833015
