market,rank,account,name,account_value,pnl_month,roi_month,volume_month,pnl_per_volume,pnl_all_time,roi_all_time,position_count,position_notional,position_upnl,margin_used,top_position_coin,top_position_value,top_position_share,top_position_leverage,fill_count_recent,fill_count_capped_at_2000,fill_coin_count,dominant_fill_coin,dominant_fill_share,fill_notional_recent,fees_recent,fee_bps_recent,fill_start,fill_end,fill_dirs,classification,excluded,classification_reasons,data_source,not_trade_recommended
hyperliquid,1,0x0ddf9bae2af4b874b96d287a5ad42eb47138a902,Penision Fund,28779448.276308,16762611.995774,0.50832115,438135073.2,0.03825901,46540014.636308,1.55079422,1,82310000.0,2693349.154357,27436666.666666,ETH,82310000.0,1.0,3.0,2000,True,1,ETH,1.0,39926225.51691,7596.195686,1.902558,2026-06-21T10:57:04.522000+00:00,2026-06-26T03:46:23.686000+00:00,"{""Close Short"": 1104, ""Open Short"": 896}",D_hl_concentrated_directional,False,few active positions; top position dominates current notional; recent fills concentrated in one coin,fresh_api:fresh_public_detail,True
hyperliquid,2,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,28865659.598507,16649303.976956,0.43298364,1531033122.5,0.01087456,185811349.338507,3.00662712,27,87274878.871493,3460673.070497,8402057.167516,BTC,36916812.73478,0.422995,20.0,2000,True,9,BTC,0.3635,3573403.894587,35.733026,0.099997,2026-07-02T08:54:51.203000+00:00,2026-07-02T10:20:24.040000+00:00,"{""Close Long"": 269, ""Close Short"": 113, ""Open Long"": 210, ""Open Short"": 1408}",E_hl_high_turnover_multi_asset,False,many recent fills; multi-asset recent activity; multiple active positions; fills not fully dominated by a single coin,fresh_api:fresh_public_detail,True
hyperliquid,3,0x17c3c8fdbcb7d1b240ce08965e09b1fc91cba868,,24557550.333583,14813429.257143,0.42202428,501698134.23,0.02952658,8615318.756246,0.20430777,14,1482292.141842,-4562.855886,484454.010516,NEAR,517233.77226,0.348942,3.0,2000,True,15,xyz:SPCX,0.3745,3035293.644206,59.010195,0.194413,2026-07-01T17:30:01.367000+00:00,2026-07-02T10:16:23.448000+00:00,"{""Buy"": 1, ""Close Long"": 680, ""Close Short"": 592, ""Open Long"": 286, ""Open Short"": 440, ""Short > Long"": 1}",E_hl_high_turnover_multi_asset,False,many recent fills; multi-asset recent activity; multiple active positions; fills not fully dominated by a single coin,fresh_api:fresh_public_detail,True
hyperliquid,4,0xfc667adba8d4837586078f4fdcdc29804337ca06,,70100996.381736,13166099.828094,0.14485145,7451356167.35,0.00176694,34001022.891736,0.33766661,6,20259995.51506,-557014.832545,1527232.176578,ETH,6336836.1864,0.312776,20.0,2000,True,37,xyz:SPCX,0.159,12331969.048795,42.853701,0.03475,2026-07-02T08:24:23.692000+00:00,2026-07-02T10:20:27.628000+00:00,"{""Close Long"": 450, ""Close Short"": 535, ""Open Long"": 182, ""Open Short"": 805, ""Sell"": 28}",E_hl_high_turnover_multi_asset,False,many recent fills; multi-asset recent activity; multiple active positions; fills not fully dominated by a single coin,fresh_api:fresh_public_detail,True
hyperliquid,5,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,,91182253.131336,12445827.745577,0.58942859,128248179.68,0.09704487,136502324.682975,0.96214715,12,56946360.748006,2400722.924364,11293928.998432,HYPE,55770847.8801,0.979358,5.0,2000,True,3,xyz:GOLD,0.474,2256858.89391,633.975287,2.809105,2026-06-29T18:18:06.523000+00:00,2026-07-02T02:08:56.804000+00:00,"{""Buy"": 632, ""Close Short"": 1, ""Open Short"": 1360, ""Sell"": 7}",E_hl_high_turnover_multi_asset,False,active recent trading; several traded assets,fresh_api:fresh_public_detail,True
hyperliquid,6,0xf822fa0fd364c573fcdb7009fcf47601bc8be01a,,36901853.63665,11598312.531395,0.38273813,234411135.94,0.0494785,12601546.78665,0.43008272,5,110080864.22204,1580540.246476,36693621.407345,BTC,45778978.0582,0.415867,3.0,2000,True,3,SOL,0.7215,1124745.23783,44.988822,0.399991,2026-07-02T05:26:29.042000+00:00,2026-07-02T09:30:51.704000+00:00,"{""Open Short"": 2000}",E_hl_high_turnover_multi_asset,False,active recent trading; several traded assets,fresh_api:fresh_public_detail,True
hyperliquid,7,0x87f9cd15f5050a9283b8896300f7c8cf69ece2cf,,82372009.992004,11514571.831012,0.14988961,33082583627.120007,0.00034806,78165317.612004,0.46965603,0,0,0,0.0,,0.0,0.0,0.0,119,False,1,BTC,1.0,103481.09488,15.522103,1.499994,2025-06-13T17:42:30.169000+00:00,2025-06-13T18:05:58.014000+00:00,"{""Close Long"": 16, ""Close Short"": 12, ""Long > Short"": 38, ""Open Long"": 7, ""Open Short"": 8, ""Short > Long"": 38}",F_anomaly_or_unclear_excluded,True,does not cleanly meet D/E thresholds or public detail incomplete,fresh_api:fresh_public_detail,True
hyperliquid,8,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,92020811.835142,10312097.344002,0.09653661,9923329589.23,0.00103918,222126410.625142,2.20065113,82,95886943.087154,-1366550.672084,10656238.662238,ETH,33700481.75014,0.351461,15.0,2000,True,97,ASTER,0.0875,2976823.421135,109.221625,0.366907,2026-07-02T10:02:26.674000+00:00,2026-07-02T10:20:30.392000+00:00,"{""Buy"": 132, ""Close Long"": 231, ""Close Short"": 527, ""Long > Short"": 1, ""Open Long"": 240, ""Open Short"": 775, ""Sell"": 93, ""Short > Long"": 1}",E_hl_high_turnover_multi_asset,False,many recent fills; multi-asset recent activity; multiple active positions; fills not fully dominated by a single coin,fresh_api:fresh_public_detail,True
hyperliquid,9,0x45d26f28196d226497130c4bac709d808fed4029,,32810769.346784,9287513.671135,0.71126739,4277143.68,2.17142896,79286080.936784,1.68241336,44,49804478.6569,7075751.738126,4590244.634631,HYPE,27842713.2,0.55904,10.0,2000,True,6,xyz:BRENTOIL,0.3365,5449320.727014,870.093233,1.5967,2026-06-01T05:43:45.182000+00:00,2026-06-26T13:20:40.523000+00:00,"{""Close Short"": 1079, ""Open Long"": 31, ""Open Short"": 420, ""Sell"": 469, ""Short > Long"": 1}",E_hl_high_turnover_multi_asset,False,many recent fills; multi-asset recent activity; multiple active positions; fills not fully dominated by a single coin,fresh_api:fresh_public_detail,True
hyperliquid,10,0x8cfac7c6f03e00db2f298699df96933a9694b6ab,,9769447.006344,9105144.993787,13.7063336,0.0,0.0,10097954.536344,100979.54536344,0,0,0,0.0,,0.0,0.0,0.0,1,False,1,@4,1.0,0.888138,0.0,0.0,2026-01-07T00:00:00.119000+00:00,2026-01-07T00:00:00.119000+00:00,"{""Spot Dust Conversion"": 1}",F_anomaly_excluded,True,positive PnL with zero/invalid monthly volume,fresh_api:fresh_public_detail,True
hyperliquid,11,0xebe126adabe1a8f08d3ce53b45e7cc994ca14070,,17885959.327322,8182320.348868,0.77165211,36630169.25,0.22337654,-379136.882678,-0.0110972,0,0,0,0.0,,0.0,0.0,0.0,2000,True,1,xyz:SKHX,1.0,5122844.8246,162.383474,0.316979,2026-06-25T00:56:55.021000+00:00,2026-06-30T23:01:35.615000+00:00,"{""Close Short"": 171, ""Open Short"": 1829}",F_anomaly_or_unclear_excluded,True,does not cleanly meet D/E thresholds or public detail incomplete,fresh_api:fresh_public_detail,True
hyperliquid,12,0x4e23288cee4960f9f962195c22948e4bc7ae20c3,,25219464.396736,7897971.179436,0.58453803,2145411358.87,0.00368133,11878918.156736,0.88312287,5,6131.845214,-182.30858,567.865707,WLD,3228.13119,0.526453,10.0,2000,True,4,xyz:SPCX,0.49,8266283.18869,133.446904,0.161435,2026-07-01T17:37:27.273000+00:00,2026-07-02T05:54:07.126000+00:00,"{""Buy"": 213, ""Close Short"": 807, ""Open Long"": 980}",E_hl_high_turnover_multi_asset,False,active recent trading; several traded assets,fresh_api:fresh_public_detail,True
hyperliquid,13,0xfc27136e42af1732ddc9ce2605ea9bff1b959d9d,,16843948.062557,7679671.92161,0.30533967,1888437093.0,0.00406668,7404495.672557,0.29040139,1,2166075.72664,-18473.595063,216607.572664,BTC,2166075.72664,1.0,10.0,2000,True,51,xyz:META,0.219,4676190.800189,145.980838,0.312179,2026-07-02T07:02:16.744000+00:00,2026-07-02T10:19:57.758000+00:00,"{""Close Long"": 136, ""Close Short"": 844, ""Long > Short"": 3, ""Open Long"": 469, ""Open Short"": 546, ""Short > Long"": 2}",D_hl_concentrated_directional,False,few active positions; top position dominates current notional,fresh_api:fresh_public_detail,True
hyperliquid,14,0xd47587702a91731dc1089b5db0932cf820151a91,,56262663.995272,7572295.632394,0.13883442,196795795.48,0.03847793,87994174.304088,0.71175626,12,31863604.343166,-4360097.22171,6328505.662188,HYPE,27407382.60231,0.860147,5.0,2000,True,4,HYPE,0.6815,749193.2642,64.195461,0.856861,2026-06-30T10:40:53.248000+00:00,2026-07-01T22:09:39.445000+00:00,"{""Close Short"": 1884, ""Sell"": 116}",E_hl_high_turnover_multi_asset,False,active recent trading; several traded assets,fresh_api:fresh_public_detail,True
hyperliquid,15,0xa312114b5795dff9b8db50474dd57701aa78ad1e,,24665095.424225,7568993.764223,0.61740997,292094182.78,0.02591285,97308687.404225,3.38972062,14,16817487.04956,1531470.267028,1897772.797495,HYPE,13258339.73808,0.788366,10.0,2000,True,15,xyz:SMH,0.267,1902093.936467,212.553957,1.117473,2026-07-01T17:26:13.820000+00:00,2026-07-02T10:17:44.017000+00:00,"{""Close Short"": 753, ""Open Short"": 1043, ""Sell"": 204}",E_hl_high_turnover_multi_asset,False,many recent fills; multi-asset recent activity; multiple active positions; fills not fully dominated by a single coin,fresh_api:fresh_public_detail,True
