market,rank,account,name,pnl_month,volume_month,pnl_per_volume,trade_count,largest_win,largest_win_to_pnl,closed_count,closed_realized_sum,top_closed_realized,top_closed_share_of_positive_closed,top_closed_title,top_closed_outcome,current_position_count,current_position_value,current_position_cost,unique_event_count_sample,negative_risk_count_sample,join_date,classification,excluded,classification_reasons,data_source,not_trade_recommended
polymarket,1,0x095fbca2e0eaf0c9841005135427e1e0117190b2,muchobliged,3141057.026554,7301624.277016,0.43018607,7,2396970.380175,0.763109,6,3374529.655125,2396970.380175,0.710312,England vs. DR Congo: O/U 2.5,Over,1,0.0,106374.4579,6,0,2026-06-09T08:20:51.895000Z,A_pm_large_event_bet,False,low trade count or concentrated closed wins; high largestWin/PnL; high PnL/volume,fresh_api:local_sample_detail,True
polymarket,2,0x0346afae2603313d2bbee96b628536c8cbe352a5,GoalLineGhost,697202.085472,9673091.133951,0.07207645,11319,938349.898755,1.345879,30,8666454.129639,938349.898755,0.108274,Will United States win on 2026-06-12?,Yes,100,491306.2577,490969.896,100,0,2026-04-21T03:32:56.075000Z,B_pm_hf_mm_arb,False,very high trade count; broad/current position footprint; low-to-moderate PnL/volume consistent with spread or microstructure edge; largest win still large; verify not a single-event artifact,fresh_api:local_sample_detail,True
polymarket,3,0x84cfffc3f16dcc353094de30d4a45226eccd2f63,mooseborzoi,652085.853679,13108939.437532,0.0497436,8672,880905.98618,1.350905,30,9349861.493265,880905.98618,0.094216,Spurs vs. Thunder,Spurs,100,1372225.4339,1256952.4578,100,0,2026-04-24T13:17:50.795000Z,B_pm_hf_mm_arb,False,very high trade count; broad/current position footprint; low-to-moderate PnL/volume consistent with spread or microstructure edge; largest win still large; verify not a single-event artifact,fresh_api:local_sample_detail,True
polymarket,4,0x204f72f35326db932158cba6adff0b9a1da95e14,swisstony,616649.954979,33816933.641712,0.01823495,132621,1171844.90857,1.900341,30,13623422.366107,1171844.90857,0.086017,Will Germany win on 2026-06-25?,No,100,1453280.7774,1451727.3289,100,0,2025-07-29T10:46:06.105000Z,B_pm_hf_mm_arb,False,very high trade count; broad/current position footprint; low-to-moderate PnL/volume consistent with spread or microstructure edge; largest win still large; verify not a single-event artifact,fresh_api:local_sample_detail,True
polymarket,5,0x709e8dcb133555794decc598e07f2c923b8366f5,0xd4aa6f8e91cfea29b66a48ebff52814,529667.261448,3142246.633786,0.16856324,252,613282.059582,1.157863,30,7899706.656356,613282.059582,0.077634,Will France win on 2026-06-26?,Yes,21,1338133.0,2551242.5817,30,0,2026-04-02T19:48:36.025000Z,F_anomaly_or_unclear_excluded,True,does not cleanly meet A/B/C thresholds,fresh_api:local_sample_detail,True
polymarket,6,0x83720820a8aa6c3f20ad71850e7a1a17d16c5223,Jsram,520452.48078,2889935.901201,0.18009136,145,474539.538006,0.911783,30,3121347.011033,474539.538006,0.15203,Belgium vs. Senegal: Both Teams to Score,Yes,57,661853.7198,2375819.7261,57,0,2024-07-22T14:04:48.488000Z,F_anomaly_or_unclear_excluded,True,does not cleanly meet A/B/C thresholds,fresh_api:local_sample_detail,True
polymarket,7,0x67542c3219b37fd1610aad290676ff91cdbfe3bc,maz26,417998.353153,5168916.511168,0.08086769,126,1248667.296333,2.987254,30,6149630.425254,1248667.296333,0.203048,Will Belgium vs. Senegal end in a draw?,Yes,1,0.0,256956.0625,30,0,2026-06-11T13:58:50.837000Z,F_anomaly_or_unclear_excluded,True,does not cleanly meet A/B/C thresholds,fresh_api:local_sample_detail,True
polymarket,8,0x7c1ee865a785de4c00ee90ed86a38489fb8bbab3,CandleHammerDrums,395370.664559,2072962.298134,0.19072738,146,241000.12385,0.609555,30,3678894.890248,241000.12385,0.065509,Will Belgium win on 2026-07-01?,No,74,17080.8346,3934063.4088,74,0,2026-06-09T16:59:25.907000Z,C_pm_midfreq_selective,False,mid-range trade count; multiple sampled markets; not entirely single-win dominated,fresh_api:local_sample_detail,True
polymarket,9,0x9ee8bbc36d378af72e5f6b8e2ea2eb67c05a89de,Qpkwks,384402.966165,1897945.02216,0.20253641,36,1131231.70905,2.942828,19,3761559.129775,1131231.70905,0.300735,Will England win on 2026-06-23?,No,20,12253.2698,2363108.3088,20,0,2026-06-20T14:10:14.767000Z,A_pm_large_event_bet,False,low trade count or concentrated closed wins; high largestWin/PnL; high PnL/volume,fresh_api:local_sample_detail,True
polymarket,10,0xfea31bc088000ff909be1dfd8d0e3f2c7ef2d227,ndb1,371595.865135,1814477.833015,0.20479493,1689,756956.454809,2.037042,30,7158187.177476,756956.454809,0.105747,Will Arsenal win the 2025–26 Champions League?,No,97,4811030.747,5116235.9781,97,0,2026-03-25T22:51:51.852000Z,B_pm_hf_mm_arb,False,very high trade count; broad/current position footprint; largest win still large; verify not a single-event artifact,fresh_api:local_sample_detail,True
polymarket,11,0x349606c1b77f3ba668879cbc9347f15a44cf8fc4,skk1ch,318643.953225,3745491.692678,0.085074,188,1157508.619424,3.632608,30,7122878.071848,1157508.619424,0.162506,Senegal vs. Iraq: O/U 3.5,Over,19,0.0,2059110.7668,30,0,2026-05-14T09:10:18.569000Z,F_anomaly_or_unclear_excluded,True,does not cleanly meet A/B/C thresholds,fresh_api:local_sample_detail,True
